경찰서,관서명,구분,주소,Coordinates,,,,,,,,,,,,,,,,,,,,
서울광진,화양,지구대,서울특별시 광진구 능동로17길 39 화양지구대,"37.5465667,127.0713499",,,,,,,,,,,,,,,,,,,,
서울광진,중곡1,파출소,서울특별시 광진구 능동로 385,"37.563723,127.0827863",,,,,,,,,,,,,,,,,,,,
서울광진,중곡2,파출소,서울특별시 광진구 능동로 346,"37.5602505,127.0814843",,,,,,,,,,,,,,,,,,,,
서울광진,중곡3,파출소,서울특별시 광진구 동일로76가길 28,"37.5688192,127.0801404",,,,,,,,,,,,,,,,,,,,
서울광진,중곡4,파출소,서울특별시 광진구 용마산로24길 7,"37.5653353,127.087218",,,,,,,,,,,,,,,,,,,,
서울광진,자양,파출소,서울특별시 광진구 뚝섬로36길 9,"37.5338683,127.0716102",,,,,,,,,,,,,,,,,,,,
서울광진,자양1,파출소,서울특별시 광진구 자양번영로 80,"37.5366309,127.076921",,,,,,,,,,,,,,,,,,,,
서울광진,자양4,파출소,서울특별시 광진구 뚝섬로22가길 43번지 자양4파출소,"37.5351513,127.0636287",,,,,,,,,,,,,,,,,,,,
서울광진,구의,파출소,서울특별시 광진구 광나루로 43길 26 구의파출소,"37.5458868,127.0916497",,,,,,,,,,,,,,,,,,,,
서울서부,응암,지구대,서울특별시 은평구 은평로 171,"37.6015836,126.9264643",,,,,,,,,,,,,,,,,,,,
서울서부,신사,지구대,서울특별시 은평구 은평터널로5길 6호,"37.5918104,126.9053669",,,,,,,,,,,,,,,,,,,,
서울서부,녹번,파출소,서울특별시 은평구 진흥로 진흥로200,"37.6081391,126.9323304",,,,,,,,,,,,,,,,,,,,
서울서부,응암3,파출소,서울특별시 은평구 응암로 208,"37.5905279,126.9175364",,,,,,,,,,,,,,,,,,,,
서울서부,역촌,파출소,서울특별시 은평구 연서로 61,"37.6044279,126.9151883",,,,,,,,,,,,,,,,,,,,
서울강북,미아,지구대,서울특별시 강북구 도봉로 127,"37.6201611,127.0282954",,,,,,,,,,,,,,,,,,,,
서울강북,솔샘,지구대,서울특별시 강북구 오현로 4,"37.61631260000001,127.0303989",,,,,,,,,,,,,,,,,,,,
서울강북,수유1,파출소,서울특별시 강북구 삼양로 305,"37.6306502,127.0175895",,,,,,,,,,,,,,,,,,,,
서울강북,수유2,파출소,서울특별시 강북구 삼각산로 115,"37.6409113,127.0171016",,,,,,,,,,,,,,,,,,,,
서울강북,수유3,파출소,서울특별시 강북구 한천로150길 76,"37.6443456,127.026571",,,,,,,,,,,,,,,,,,,,
서울강북,인수,파출소,서울특별시 강북구 인수봉로 227,"37.6394394,127.0123991",,,,,,,,,,,,,,,,,,,,
서울강북,번동,파출소,서울특별시 강북구 한천로 969,"37.63599,127.0326008",,,,,,,,,,,,,,,,,,,,
서울강북,번3,파출소,서울특별시 강북구 월계로 227,"37.6236112,127.0481447",,,,,,,,,,,,,,,,,,,,
서울강북,삼양,파출소,서울특별시 강북구 삼양로 239-1,"37.6248025,127.0181839",,,,,,,,,,,,,,,,,,,,
서울금천,금천,파출소,서울특별시 금천구 시흥대로57길 45,"37.4542242,126.8998381",,,,,,,,,,,,,,,,,,,,
서울금천,문성,지구대,서울특별시 금천구 독산로 76길 20,"37.46953080000001,126.9034406",,,,,,,,,,,,,,,,,,,,
서울금천,백산,지구대,서울특별시 금천구 탑골로2길 37 백산지구대,"37.4509431,126.9125325",,,,,,,,,,,,,,,,,,,,
서울금천,가산,파출소,서울특별시 금천구 벚꽃로56길 174,"37.479919,126.8880499",,,,,,,,,,,,,,,,,,,,
서울금천,독산,파출소,서울특별시 금천구 벚꽃로10길 89,"37.4646641,126.8948276",,,,,,,,,,,,,,,,,,,,
서울중랑,망우,지구대,서울특별시 중랑구 망우로 391,"37.59909330000001,127.0956749",,,,,,,,,,,,,,,,,,,,
서울중랑,중화,지구대,서울특별시 중랑구 중랑천로 146,"37.5979964,127.0722033",,,,,,,,,,,,,,,,,,,,
서울중랑,용마,지구대,서울특별시 중랑구 동일로 566,"37.5799415,127.0810446",,,,,,,,,,,,,,,,,,,,
